CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY (A),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAREER DEVELOPMENT CENTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLACEMENTS 2024-25 BATCH (in Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No.,Name of the Organization,Designation,Internship Stipend (Rs.P.M),"CTC
(Rs.In Lakhs)",Date of Results Announced,CSE,IT,CSE (AIML),AIML,AIDS,"CSE (IOT, CS&BCT)",ECE,EEE,MECH,CIVIL,CHEM,Bio- Tech,MCA,MTech/ CSE,MTech/ AIDS,"M.E/
Comm",ME / VLSI & ESVD,M.E/ PSPE,"M.E/
Cad/Cam",ME/ Thermal,ME/ Struc,MBA,TOTAL
75,Smartwinnr,Software Developer,15000,5.0,18.01.2025,3,4,2,1,1,1,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
76,Hind Rectifiers Ltd,l,,4.0,21.01.2025,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
77,PWC AC India,Associate Engineer,,6.0,22.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
78,Bizauity,Software Engineer,,7.0,23.01.2025,2,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
79,HUL ET SC Make,Excutive Traineship,,11.0,24.01.2025,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
80,Encora Innovation labs,Software Engineer,,7.0,"24.01.2025 &
31.01.2025",3,4,2,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
81,Evernorth Health Services,Software Engineer,21000,6.0,27.01.2025,4,7,4,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
82,Inox Air Products Pvt Ltd,Trainee Engineers/ Maintenance,,6.8,29.01.2025,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
83,Medha Servo Drives,Engineer Trainee (R&D),,5.2,31.01.2025,NA,NA,NA,NA,NA,NA,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
84,Sabre Industries (2024 Batch),Graduate Engineer Trainee,,5.1,01.02.2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
